,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
70,2001,2,13,0,,-217.0,,-229.0,10284.0,,,350.0,,,,20.0,,,,,7,-9999.0,-9999.0
71,2001,2,13,18,,-106.0,,-126.0,10279.0,,,270.0,,,,30.0,,,,,8,-9999.0,-9999.0
72,2001,2,14,0,,-145.0,,-158.0,10324.0,,,240.0,,,,20.0,,,,,8,-9999.0,-9999.0
73,2001,2,14,12,,-102.0,,-165.0,10297.0,,,210.0,,,,20.0,,,,,6,-9999.0,-9999.0
74,2001,2,14,18,,-110.0,,-146.0,10260.0,,,170.0,,,,20.0,,,,,8,-9999.0,-9999.0
75,2001,2,16,0,,-111.0,,-131.0,10152.0,,,260.0,,,,20.0,,,,,8,-9999.0,-9999.0
76,2001,2,16,12,,-111.0,,-155.0,10148.0,,,150.0,,,,20.0,,,,,3,-9999.0,-9999.0
77,2001,2,19,18,,-144.0,,-164.0,10227.0,,,270.0,,,,40.0,,,,,8,-9999.0,-9999.0
78,2001,2,20,0,,-145.0,,-172.0,-9999.0,,,240.0,,,,30.0,,,,,8,-9999.0,-9999.0
79,2001,2,20,6,,-125.0,,-152.0,10230.0,,,250.0,,,,30.0,,,,,8,-9999.0,-9999.0
80,2001,2,20,12,,-135.0,,-196.0,10234.0,,,270.0,,,,10.0,,,,,3,-9999.0,-9999.0
81,2001,2,20,18,,-167.0,,-217.0,10261.0,,,230.0,,,,10.0,,,,,6,-9999.0,-9999.0
82,2001,2,21,0,,-161.0,,-180.0,10274.0,,,250.0,,,,10.0,,,,,8,-9999.0,-9999.0
83,2001,2,21,12,,-100.0,,-122.0,10257.0,,,240.0,,,,20.0,,,,,8,-9999.0,-9999.0
84,2001,2,22,0,,-137.0,,-143.0,10307.0,,,240.0,,,,10.0,,,,,6,-9999.0,-9999.0
85,2001,2,26,0,,-128.0,,-134.0,10232.0,,,250.0,,,,30.0,,,,,8,-9999.0,-9999.0
86,2001,2,28,18,,-106.0,,-126.0,10182.0,,,270.0,,,,40.0,,,,,7,-9999.0,-9999.0
87,2001,3,1,0,,-113.0,,-148.0,10232.0,,,250.0,,,,50.0,,,,,8,-9999.0,-9999.0
88,2001,3,1,12,,-101.0,,-145.0,10353.0,,,250.0,,,,40.0,,,,,8,-9999.0,-9999.0
89,2001,3,1,18,,-113.0,,-166.0,10386.0,,,260.0,,,,30.0,,,,,8,-9999.0,-9999.0
90,2001,3,2,0,,-131.0,,-166.0,10373.0,,,210.0,,,,10.0,,,,,5,-9999.0,-9999.0
91,2001,3,4,0,,-135.0,,-170.0,10286.0,,,290.0,,,,30.0,,,,,8,-9999.0,-9999.0
92,2001,3,4,6,,-131.0,,-174.0,10306.0,,,280.0,,,,40.0,,,,,8,-9999.0,-9999.0
93,2001,3,4,12,,-155.0,,-189.0,10339.0,,,280.0,,,,40.0,,,,,8,-9999.0,-9999.0
94,2001,3,4,18,,-197.0,,-230.0,10400.0,,,260.0,,,,40.0,,,,,8,-9999.0,-9999.0
95,2001,3,5,0,,-220.0,,-245.0,10417.0,,,230.0,,,,20.0,,,,,8,-9999.0,-9999.0
96,2001,3,5,6,,-183.0,,-233.0,10430.0,,,290.0,,,,40.0,,,,,5,-9999.0,-9999.0
97,2001,3,5,18,,-264.0,,-288.0,10501.0,,,260.0,,,,20.0,,,,,0,-9999.0,-9999.0
98,2001,3,6,0,,-269.0,,-293.0,10504.0,,,220.0,,,,20.0,,,,,2,-9999.0,-9999.0
99,2001,3,6,6,,-155.0,,-225.0,10462.0,,,230.0,,,,20.0,,,,,5,-9999.0,-9999.0
100,2001,3,6,12,,-153.0,,-223.0,10422.0,,,260.0,,,,10.0,,,,,8,-9999.0,-9999.0
101,2001,3,12,0,,-108.0,,-147.0,10217.0,,,220.0,,,,30.0,,,,,6,-9999.0,-9999.0
102,2001,3,12,12,,-112.0,,-196.0,10291.0,,,230.0,,,,40.0,,,,,6,-9999.0,-9999.0
103,2001,3,12,18,,-117.0,,-189.0,10306.0,,,230.0,,,,50.0,,,,,7,-9999.0,-9999.0
104,2001,3,13,0,,-108.0,,-181.0,10286.0,,,230.0,,,,70.0,,,,,8,-9999.0,-9999.0
105,2001,3,18,18,,-135.0,,-155.0,10202.0,,,230.0,,,,20.0,,,,,0,-9999.0,-9999.0
106,2001,3,19,0,,-184.0,,-203.0,10213.0,,,250.0,,,,20.0,,,,,5,-9999.0,-9999.0
107,2001,3,20,0,,-102.0,,-115.0,10052.0,,,140.0,,,,10.0,,,,,8,-9999.0,-9999.0
108,2001,3,20,18,,-103.0,,-131.0,10152.0,,,290.0,,,,30.0,,,,,8,-9999.0,-9999.0
109,2001,3,21,0,,-151.0,,-164.0,10190.0,,,260.0,,,,20.0,,,,,7,-9999.0,-9999.0
110,2001,3,21,12,-9999.0,,-162.0,10205.0,,,,50.0,,,,40.0,,,,,8,-9999.0,-9999.0
111,2001,3,24,0,,-260.0,,-284.0,10378.0,,,250.0,,,,30.0,,,,,3,-9999.0,-9999.0
112,2001,4,7,18,,-112.0,,-221.0,10337.0,,,310.0,,,,30.0,,,,,0,-9999.0,-9999.0
113,2001,4,8,0,,-139.0,,-221.0,10406.0,,,240.0,,,,20.0,,,,,2,-9999.0,-9999.0
114,2001,4,17,18,,-100.0,,-108.0,10283.0,,,260.0,,,,20.0,,,,,2,-9999.0,-9999.0
115,2001,4,27,18,-9999.0,-9999.0,-9999.0,,,290.0,,,,20.0,,,,,2.0,-9999.0,-9999,,
116,2001,7,7,0,,,142.0,-9999.0,10116.0,,,210.0,,,,10.0,,,,,6,-9999.0,-9999.0
117,2001,8,12,6,,,191.0,-9999.0,10115.0,,,280.0,,,,30.0,,,,,7,-9999.0,-9999.0
