,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
2014,1,13,1,,,260.0,,,230.0,-9999.0,,,150.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,
2014,1,13,2,,,260.0,,,230.0,-9999.0,,,150.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,
2014,1,13,3,,,270.0,,,240.0,-9999.0,,,270.0,,,,31.0,-9999.0,-9999.0,-9999.0,,,
2014,1,13,10,,,240.0,,,230.0,-9999.0,,,150.0,,,,41.0,-9999.0,-9999.0,-9999.0,,,
2014,1,14,0,,,240.0,,,220.0,-9999.0,,,300.0,,,,21.0,-9999.0,-9999.0,-9999.0,,,
2014,1,14,2,,,250.0,,,230.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,14,3,,,250.0,,,230.0,-9999.0,,,210.0,,,,15.0,-9999.0,-9999.0,-9999.0,,,
2014,1,14,4,,,280.0,,,230.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,14,5,,,300.0,,,230.0,-9999.0,,,210.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,
2014,1,14,6,,,300.0,,,230.0,-9999.0,,,240.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,
2014,1,14,7,,,300.0,,,230.0,-9999.0,,,180.0,,,,51.0,-9999.0,-9999.0,-9999.0,,,
2014,1,14,8,,,280.0,,,240.0,-9999.0,,,180.0,,,,62.0,-9999.0,-9999.0,-9999.0,,,
2014,1,14,9,,,270.0,,,230.0,-9999.0,,,210.0,,,,51.0,-9999.0,-9999.0,-9999.0,,,
2014,1,14,12,,,260.0,,,230.0,-9999.0,,,150.0,,,,31.0,-9999.0,-9999.0,-9999.0,,,
2014,1,15,5,,,260.0,,,250.0,-9999.0,,,160.0,,,,31.0,-9999.0,-9999.0,-9999.0,,,
2014,1,15,6,,,270.0,,,240.0,-9999.0,,,160.0,,,,41.0,-9999.0,-9999.0,-9999.0,,,
2014,1,15,10,,,270.0,,,240.0,-9999.0,,,180.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,
2014,1,15,12,,,240.0,,,220.0,-9999.0,,,180.0,,,,41.0,-9999.0,-9999.0,-9999.0,,,
2014,1,15,13,,,240.0,,,220.0,-9999.0,,,180.0,,,,31.0,-9999.0,-9999.0,-9999.0,,,
2014,1,15,23,,,230.0,,,220.0,-9999.0,,,180.0,,,,31.0,-9999.0,-9999.0,-9999.0,,,
2014,1,16,0,,,240.0,,,220.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,16,1,,,240.0,,,220.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,16,3,,,260.0,,,230.0,-9999.0,,,180.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,
2014,1,16,8,,,290.0,,,240.0,-9999.0,,,360.0,,,,31.0,-9999.0,-9999.0,-9999.0,,,
2014,1,16,12,,,270.0,,,240.0,-9999.0,,,120.0,,,,10.0,-9999.0,-9999.0,-9999.0,,,
2014,1,16,23,,,240.0,,,240.0,-9999.0,,,360.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,
2014,1,17,0,,,240.0,,,230.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,17,1,,,250.0,,,230.0,-9999.0,,,360.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,
2014,1,17,2,,,260.0,,,230.0,-9999.0,,,360.0,,,,21.0,-9999.0,-9999.0,-9999.0,,,
2014,1,17,3,,,280.0,,,240.0,-9999.0,,,,30.0,,,,15.0,-9999.0,-9999.0,-9999.0,,
2014,1,17,5,,,290.0,,,240.0,-9999.0,,,360.0,,,,62.0,-9999.0,-9999.0,-9999.0,,,
2014,1,17,6,,,260.0,,,250.0,-9999.0,,,330.0,,,,41.0,-9999.0,-9999.0,-9999.0,,,
2014,1,17,12,,,250.0,,,230.0,-9999.0,,,360.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,
2014,1,17,13,,,240.0,,,230.0,-9999.0,,,,30.0,,,,26.0,-9999.0,-9999.0,-9999.0,,
2014,1,18,6,,,270.0,,,240.0,-9999.0,,,360.0,,,,51.0,-9999.0,-9999.0,-9999.0,,,
2014,1,18,8,,,270.0,,,230.0,-9999.0,,,360.0,,,,41.0,-9999.0,-9999.0,-9999.0,,,
2014,1,18,11,,,250.0,,,230.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
