,YEAR,MONTH,DAY,HOUR,AIR-TEMP,DEW-POINT-TEMP,SEA-LEVEL-PRESSURE,WIND-DIRECTION,WIND-SPEED,SKY-CONDITION,RAIN-1HR,RAIN-6HR,SATELLITE-INFO
167,1,22,6,,30.0,-75.0,10240.0,,30.0,3.0,-9999.0,-9999.0,377350-99999-2017
168,1,22,9,,65.0,10237.0,,,,-9999.0,-9999.0,,377350-99999-2017
169,1,22,12,,93.0,10219.0,,,,-9999.0,-9999.0,,377350-99999-2017
170,1,22,15,,53.0,-88.0,10237.0,,10.0,4.0,-9999.0,-9999.0,377350-99999-2017
171,1,22,18,,50.0,-79.0,10268.0,,30.0,7.0,-9999.0,-9999.0,377350-99999-2017
172,1,22,21,,46.0,-72.0,10292.0,,50.0,8.0,-9999.0,-9999.0,377350-99999-2017
173,1,23,0,,40.0,-55.0,10305.0,,10.0,6.0,-9999.0,-9999.0,377350-99999-2017
174,1,23,3,,,,-25.0,10321.0,-9999.0,7.0,-9999.0,-9999.0,377350-99999-2017
175,1,23,6,,15.0,-30.0,10329.0,,,-9999.0,-9999.0,,377350-99999-2017
176,1,23,9,,51.0,-39.0,10328.0,,20.0,2.0,-9999.0,-9999.0,377350-99999-2017
177,1,23,12,,74.0,-41.0,10305.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
178,1,23,15,,51.0,-55.0,10296.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
179,1,23,18,,14.0,-41.0,10311.0,,,-9999.0,-9999.0,,377350-99999-2017
180,1,23,21,,,,-50.0,10329.0,-9999.0,0.0,-9999.0,-9999.0,377350-99999-2017
181,1,24,0,,,10339.0,,,,-9999.0,,,377350-99999-2017
182,1,24,3,,,10334.0,,,,-9999.0,-9999.0,,377350-99999-2017
183,1,24,6,,,,-61.0,10346.0,,,0.0,-9999.0,377350-99999-2017
184,1,24,9,,50.0,10338.0,,,,-9999.0,-9999.0,,377350-99999-2017
185,1,24,12,,68.0,-65.0,10308.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
186,1,24,15,,30.0,-50.0,10286.0,,,-9999.0,-9999.0,,377350-99999-2017
187,1,24,18,,12.0,-63.0,10282.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
188,1,24,21,,-2.0,-66.0,10265.0,,,-9999.0,-9999.0,,377350-99999-2017
189,1,25,0,,,10243.0,,,,-9999.0,,,377350-99999-2017
190,1,25,3,,10.0,-75.0,10218.0,,10.0,2.0,-9999.0,-9999.0,377350-99999-2017
191,1,25,6,,32.0,-76.0,10196.0,,10.0,6.0,-9999.0,-9999.0,377350-99999-2017
192,1,25,9,,90.0,-98.0,10172.0,,10.0,7.0,-9999.0,-9999.0,377350-99999-2017
193,1,25,12,,87.0,-78.0,10141.0,,10.0,8.0,-9999.0,-9999.0,377350-99999-2017
194,1,25,15,,53.0,-32.0,10128.0,,,-9999.0,-9999.0,,377350-99999-2017
195,1,25,18,,60.0,-70.0,10132.0,,,-9999.0,-9999.0,,377350-99999-2017
196,1,25,21,,50.0,-52.0,10136.0,,10.0,8.0,-9999.0,-9999.0,377350-99999-2017
197,1,26,0,,56.0,-43.0,10134.0,,10.0,6.0,-9999.0,-9999.0,377350-99999-2017
198,1,26,3,,31.0,-45.0,10136.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
199,1,26,6,,48.0,-60.0,10143.0,,10.0,,,,377350-99999-2017
200,1,26,9,,,10141.0,,,,-9999.0,-9999.0,,377350-99999-2017
201,1,26,12,,,10125.0,,,,-9999.0,-9999.0,,377350-99999-2017
202,1,26,15,,72.0,-38.0,10126.0,,20.0,5.0,-9999.0,-9999.0,377350-99999-2017
203,1,26,18,,54.0,-58.0,10139.0,,60.0,3.0,-9999.0,-9999.0,377350-99999-2017
204,1,26,21,,39.0,-53.0,10147.0,,40.0,2.0,-9999.0,-9999.0,377350-99999-2017
205,1,27,0,,46.0,-46.0,10146.0,,40.0,8.0,-9999.0,-9999.0,377350-99999-2017
206,1,27,3,,33.0,-21.0,10154.0,,10.0,7.0,-9999.0,-9999.0,377350-99999-2017
207,1,27,6,,33.0,-34.0,10170.0,,10.0,8.0,-9999.0,-9999.0,377350-99999-2017
208,1,27,9,,50.0,-56.0,10170.0,,30.0,6.0,-9999.0,-9999.0,377350-99999-2017
209,1,27,12,,55.0,-75.0,10174.0,,30.0,7.0,-9999.0,-9999.0,377350-99999-2017
210,1,27,15,,28.0,-53.0,10169.0,,10.0,5.0,-9999.0,-9999.0,377350-99999-2017
211,1,27,18,,24.0,-54.0,10176.0,,10.0,4.0,-9999.0,-9999.0,377350-99999-2017
212,1,27,21,,,,-23.0,10186.0,,,8.0,-9999.0,377350-99999-2017
213,1,28,0,,-5.0,-17.0,10196.0,,,-9999.0,-9999.0,,377350-99999-2017
214,1,28,3,,-9.0,-21.0,10194.0,,10.0,8.0,-9999.0,-9999.0,377350-99999-2017
215,1,28,6,,,10195.0,,,,-9999.0,-9999.0,,377350-99999-2017
216,1,28,9,,-8.0,-20.0,10193.0,,10.0,8.0,-9999.0,-9999.0,377350-99999-2017
217,1,28,12,,-6.0,-18.0,10180.0,,10.0,8.0,-9999.0,-9999.0,377350-99999-2017
218,1,28,15,,-7.0,-20.0,10184.0,,10.0,8.0,-9999.0,-9999.0,377350-99999-2017
219,1,28,18,,-7.0,-25.0,10198.0,,,-9999.0,-9999.0,,377350-99999-2017
220,1,28,21,,,10208.0,,,,-9999.0,-9999.0,,377350-99999-2017
221,1,29,0,,-7.0,-26.0,10213.0,,10.0,8.0,-9999.0,-9999.0,377350-99999-2017
222,1,29,3,,-5.0,-42.0,10214.0,,10.0,6.0,-9999.0,-9999.0,377350-99999-2017
223,1,29,6,,,,-55.0,10224.0,,,6.0,-9999.0,377350-99999-2017
224,1,29,9,,20.0,-48.0,10223.0,,10.0,6.0,-9999.0,-9999.0,377350-99999-2017
225,1,29,12,,25.0,-65.0,10214.0,,10.0,6.0,-9999.0,-9999.0,377350-99999-2017
