,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
32,2017,1,2,13,,,130.0,,,120.0,-9999.0,,,290.0,,,,57.0,-9999.0,,,,23.0,-9999.0,,,,,
33,2017,1,2,14,,,130.0,,,120.0,-9999.0,,,360.0,,,,15.0,-9999.0,,,,,5.0,-9999.0,,,,
34,2017,1,2,15,,,130.0,,,120.0,-9999.0,,,,90.0,,,,21.0,,,,,4.0,-9999.0,-9999.0,,,
35,2017,1,2,16,,,150.0,,,130.0,-9999.0,,,260.0,,,,21.0,-9999.0,-9999.0,-9999.0,,,,,,,,
36,2017,1,2,17,,,160.0,,,120.0,-9999.0,,,230.0,,,,21.0,,,,,4.0,-9999.0,-9999.0,,,,
37,2017,1,2,18,,,170.0,,,110.0,-9999.0,,,270.0,,,,46.0,,,,,4.0,-9999.0,-9999.0,,,,
38,2017,1,2,19,,,190.0,,,110.0,-9999.0,,,280.0,,,,51.0,,,,,0.0,-9999.0,-9999.0,,,,
39,2017,1,2,20,,,200.0,,,100.0,-9999.0,,,260.0,,,,46.0,,,,,0.0,-9999.0,-9999.0,,,,
40,2017,1,2,21,,,200.0,,,100.0,-9999.0,,,250.0,,,,36.0,,,,,0.0,-9999.0,-9999.0,,,,
41,2017,1,2,22,,,210.0,,,,80.0,-9999.0,,,260.0,,,,31.0,,,,,0.0,-9999.0,-9999.0,,,
42,2017,1,2,23,,,200.0,,,,80.0,-9999.0,,,230.0,,,,21.0,,,,,0.0,-9999.0,-9999.0,,,
43,2017,1,3,0,,,150.0,,,,80.0,-9999.0,,,190.0,,,,15.0,,,,,0.0,-9999.0,-9999.0,,,
44,2017,1,3,1,,,160.0,,,,80.0,-9999.0,,,,,0.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0
45,2017,1,3,2,,,150.0,,,,70.0,-9999.0,,,,,0.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0
46,2017,1,3,3,,,120.0,,,,60.0,-9999.0,,,,,0.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0
47,2017,1,3,4,,,110.0,,,,60.0,-9999.0,,,190.0,,,,15.0,,,,,0.0,-9999.0,-9999.0,,,
48,2017,1,3,5,,,130.0,,,,60.0,-9999.0,,,200.0,,,,21.0,,,,,0.0,-9999.0,-9999.0,,,
49,2017,1,3,6,,,130.0,,,,60.0,-9999.0,,,230.0,,,,15.0,,,,,0.0,-9999.0,-9999.0,,,
