,,,YEAR,MONTH,DAY,HOUR,AIR-TEMP,DEW-POINT-TEMP,SEA-LEVEL-PRESSURE,WIND-DIRECTION,WIND-SPEED,SKY-CONDITION,RAIN-1HR,RAIN-6HR,SATELLITE-INFO
2017,1,10,,56.0,,17.0,,,51.0,,,0.0,,,723403-13963-2017
2017,1,10,,56.0,,22.0,,,21.0,,,0.0,,,723403-13963-2017
2017,1,10,,83.0,,39.0,,,62.0,,,0.0,,,723403-13963-2017
2017,1,10,,94.0,,50.0,,,46.0,,,0.0,,,723403-13963-2017
2017,1,10,,,61.0,10200.0,180.0,77.0,-9999.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,10,,,72.0,10193.0,180.0,51.0,-9999.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,10,,,83.0,10181.0,190.0,57.0,-9999.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,10,,,94.0,10171.0,180.0,72.0,-9999.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,10,,,10166.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,10,,,10159.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,10,,,10148.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,10,,,10135.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,10,,,10132.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,10,,,10144.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,10,,,10145.0,,,-9999.0,,3.0,-9999.0,,,,723403-13963-2017
2017,1,10,,,10152.0,,,-9999.0,,-9999.0,,,,,723403-13963-2017
2017,1,10,,,10146.0,,,-9999.0,,3.0,-9999.0,,,,723403-13963-2017
2017,1,10,,,10136.0,,,-9999.0,,3.0,,,8.0,,723403-13963-2017
2017,1,10,,,10123.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,10,,,10122.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,10,,,10124.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,10,,,10133.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,10,,,10141.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,11,,,10151.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,11,,,10160.0,,,,,,,,,,723403-13963-2017
2017,1,11,,,10166.0,,,,,,,,,,723403-13963-2017
2017,1,11,,,10171.0,,,,,,,,,,723403-13963-2017
2017,1,11,,,10170.0,,,,,,,,,,723403-13963-2017
2017,1,11,,,10169.0,,,,,,,,,,723403-13963-2017
2017,1,11,,,10164.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,11,,,10161.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,11,,,10160.0,,,,,,,,,,723403-13963-2017
2017,1,11,,,10160.0,,,-9999.0,,-9999.0,,,,,723403-13963-2017
