,,,,,YEAR,MONTH,DAY,HOUR,AIR-TEMP,DEW-POINT-TEMP,SEA-LEVEL-PRESSURE,WIND-DIRECTION,WIND-SPEED,SKY-CONDITION,RAIN-1HR,RAIN-6HR,SATELLITE-INFO
2017,1,2,12,,,10215.0,,,10.0,,,,,-9999.0,-9999.0,,406356-99999-2017
2017,1,2,14,,,0.0,-9999.0,310.0,,36.0,-9999.0,-9999.0,-9999.0,,,,406356-99999-2017
2017,1,2,15,,80.0,,0.0,,,,31.0,,,,0.0,-9999.0,406356-99999-2017
2017,1,2,16,,70.0,,0.0,,,,41.0,,,,0.0,-9999.0,406356-99999-2017
2017,1,2,17,,60.0,30.0,-9999.0,310.0,,21.0,,,,0.0,-9999.0,-9999.0,406356-99999-2017
2017,1,2,18,,65.0,42.0,10240.0,,,,,,0.0,,,,406356-99999-2017
2017,1,2,19,,20.0,10.0,-9999.0,,,,,,0.0,,,,406356-99999-2017
2017,1,2,20,,20.0,10.0,-9999.0,,,,,,0.0,-9999.0,,,406356-99999-2017
2017,1,2,21,,40.0,20.0,-9999.0,,,,,,0.0,-9999.0,,,406356-99999-2017
2017,1,2,22,,20.0,10.0,-9999.0,,,,,,0.0,-9999.0,,,406356-99999-2017
2017,1,2,23,,20.0,10.0,-9999.0,,,,,,0.0,-9999.0,,,406356-99999-2017
2017,1,3,0,,10.0,-9999.0,-9999.0,,,,,0.0,-9999.0,,,,406356-99999-2017
2017,1,3,1,,20.0,10.0,-9999.0,,,,,,0.0,-9999.0,,,406356-99999-2017
2017,1,3,2,,,-10.0,-9999.0,,,,,,0.0,,,,406356-99999-2017
2017,1,3,3,,20.0,12.0,10252.0,190.0,,21.0,,,,0.0,-9999.0,-9999.0,406356-99999-2017
2017,1,3,4,,,-9999.0,,10.0,,,0.0,-9999.0,-9999.0,,,,406356-99999-2017
2017,1,3,6,,45.0,17.0,10257.0,250.0,,10.0,,,,1.0,-9999.0,-9999.0,406356-99999-2017
2017,1,3,7,,70.0,30.0,-9999.0,,,,,,0.0,-9999.0,,,406356-99999-2017
2017,1,3,8,,,-9999.0,,,26.0,,,,,-9999.0,-9999.0,,406356-99999-2017
2017,1,3,9,,,10244.0,,,10.0,,,,,-9999.0,-9999.0,,406356-99999-2017
2017,1,3,11,,,-9999.0,,,21.0,,,,,-9999.0,-9999.0,,406356-99999-2017
2017,1,3,12,,,10231.0,,,30.0,,,,,-9999.0,-9999.0,,406356-99999-2017
2017,1,3,13,,,-9999.0,,,41.0,-9999.0,-9999.0,-9999.0,,,,,406356-99999-2017
2017,1,3,14,,,-9999.0,,,21.0,-9999.0,-9999.0,-9999.0,,,,,406356-99999-2017
2017,1,3,15,,85.0,36.0,10232.0,350.0,,10.0,,,,1.0,-9999.0,-9999.0,406356-99999-2017
2017,1,3,16,,60.0,,0.0,,,,21.0,,,,0.0,-9999.0,406356-99999-2017
2017,1,3,18,,67.0,21.0,10246.0,,,,10.0,,,,1.0,-9999.0,406356-99999-2017
2017,1,3,20,,50.0,20.0,-9999.0,,,,,,0.0,,,,406356-99999-2017
2017,1,3,21,,50.0,20.0,-9999.0,,,,,,0.0,,,,406356-99999-2017
2017,1,4,0,,50.0,20.0,-9999.0,220.0,,21.0,-9999.0,-9999.0,-9999.0,,,,406356-99999-2017
2017,1,4,3,,52.0,40.0,10244.0,120.0,,10.0,,,,1.0,-9999.0,-9999.0,406356-99999-2017
2017,1,4,4,,20.0,10.0,-9999.0,290.0,,21.0,-9999.0,-9999.0,-9999.0,,,,406356-99999-2017
2017,1,4,6,,71.0,41.0,10239.0,130.0,,10.0,,,,6.0,-9999.0,-9999.0,406356-99999-2017
2017,1,4,8,,90.0,40.0,-9999.0,180.0,,26.0,-9999.0,-9999.0,-9999.0,,,,406356-99999-2017
2017,1,4,10,,,-9999.0,,,21.0,-9999.0,-9999.0,-9999.0,,,,,406356-99999-2017
2017,1,4,11,,90.0,30.0,-9999.0,240.0,,26.0,-9999.0,-9999.0,-9999.0,,,,406356-99999-2017
2017,1,4,12,,,-9999.0,,,21.0,-9999.0,-9999.0,-9999.0,,,,,406356-99999-2017
2017,1,4,13,,,-9999.0,,,21.0,-9999.0,-9999.0,-9999.0,,,,,406356-99999-2017
2017,1,4,14,,80.0,20.0,-9999.0,270.0,,21.0,-9999.0,-9999.0,-9999.0,,,,406356-99999-2017
2017,1,4,15,,60.0,20.0,-9999.0,240.0,,21.0,-9999.0,-9999.0,-9999.0,,,,406356-99999-2017
