,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2016,1,12,0,,,219,,,180.0,10183.0,,,,50.0,,,,40.0,,,,,7.0,-9999.0,-9999.0
2016,1,12,3,,,235,,,182.0,10181.0,,,,40.0,,,,70.0,,,,,6.0,-9999.0,-9999.0
2016,1,12,6,,,229,,,175.0,10163.0,,,,50.0,,,,50.0,,,,,7.0,-9999.0,-9999.0
2016,1,12,9,,,228,,,169.0,10160.0,,,,70.0,,,,40.0,,,,,6.0,-9999.0,-9999.0
2016,1,12,12,,,224,,,167.0,10177.0,,,,40.0,,,,60.0,,,,,6.0,-9999.0,-9999.0
2016,1,12,15,,,208,,,168.0,10187.0,,,340.0,,,,30.0,-9999.0,-9999.0,-9999.0,,,,,
2016,1,12,18,,,200,,,175.0,10184.0,,,350.0,,,,20.0,-9999.0,-9999.0,-9999.0,,,,,
2016,1,12,21,,,196,,,171.0,10176.0,,,340.0,,,,30.0,,,,,8.0,-9999.0,-9999.0,
2016,1,13,0,,,197,,,168.0,10197.0,,,350.0,,,,30.0,,,,,8.0,-9999.0,-9999.0,
2016,1,13,3,,,197,,,168.0,10194.0,,,,20.0,,,,70.0,,,,,8.0,-9999.0,-9999.0
2016,1,13,9,,,205,,,178.0,10180.0,,,350.0,,,,30.0,,,,,7.0,-9999.0,-9999.0,
2016,1,13,12,,,204,,,177.0,10196.0,,,350.0,,,,20.0,,,,,5.0,-9999.0,-9999.0,
2016,1,13,15,,,209,,,165.0,10186.0,,,,30.0,,,,50.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,13,18,,,194,,,152.0,10184.0,,,350.0,,,,20.0,-9999.0,-9999.0,-9999.0,,,,,
2016,1,13,21,,,197,,,148.0,10180.0,,,330.0,,,,20.0,,,,,2.0,-9999.0,-9999.0,
2016,1,14,0,,,202,,,172.0,10204.0,,,330.0,,,,20.0,,,,,5.0,-9999.0,-9999.0,
2016,1,14,3,,,223,,,162.0,10199.0,,,350.0,,,,20.0,,,,,4.0,-9999.0,-9999.0,
2016,1,14,6,,,231,,,165.0,10163.0,,,,70.0,,,,40.0,,,,,4.0,-9999.0,-9999.0
2016,1,14,9,,,216,,,159.0,10168.0,,,,40.0,,,,30.0,,,,,8.0,-9999.0,-9999.0
2016,1,14,12,,,212,,,153.0,10180.0,,,,40.0,,,,30.0,,,,,5.0,-9999.0,-9999.0
2016,1,14,15,,,202,,,153.0,10177.0,,,200.0,,,,10.0,-9999.0,-9999.0,-9999.0,,,,,
2016,1,14,18,,,207,,,144.0,10151.0,,,250.0,,,,10.0,-9999.0,-9999.0,-9999.0,,,,,
2016,1,14,21,,,197,,,143.0,10147.0,,,350.0,,,,20.0,,,,,0.0,-9999.0,-9999.0,
2016,1,15,0,,,192,,,151.0,10159.0,,,360.0,,,,,0.0,,,,,6.0,-9999.0,-9999.0
2016,1,15,3,,,238,,,154.0,10154.0,,,340.0,,,,40.0,,,,,3.0,-9999.0,-9999.0,
2016,1,15,6,,,232,,,167.0,10127.0,,,340.0,,,,20.0,,,,,8.0,-9999.0,-9999.0,
2016,1,15,9,,,227,,,173.0,10133.0,,,,30.0,,,,10.0,,,,,7.0,-9999.0,-9999.0
2016,1,15,12,,,212,,,169.0,10151.0,,,120.0,,,,10.0,,,,,6.0,-9999.0,-9999.0,
2016,1,15,15,,,208,,,162.0,10158.0,,,360.0,,,,20.0,-9999.0,-9999.0,-9999.0,,,,,
2016,1,15,18,,,207,,,159.0,10150.0,,,110.0,,,,10.0,-9999.0,-9999.0,-9999.0,,,,,
2016,1,15,21,,,208,,,166.0,10144.0,,,,40.0,,,,20.0,,,,,3.0,-9999.0,-9999.0
2016,1,16,0,,,232,,,177.0,10157.0,,,,50.0,,,,40.0,,,,,4.0,-9999.0,-9999.0
2016,1,16,3,,,243,,,180.0,10158.0,,,,80.0,,,,60.0,,,,,5.0,-9999.0,-9999.0
2016,1,16,9,,,229,,,180.0,10139.0,,,,70.0,,,,40.0,,,,,6.0,-9999.0,-9999.0
2016,1,16,12,,,227,,,189.0,10142.0,,,,80.0,,,,30.0,,,,,4.0,-9999.0,-9999.0
2016,1,16,15,,,236,,,183.0,10131.0,,,,80.0,,,,30.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,16,18,,,229,,,185.0,10112.0,,,100.0,,,,30.0,-9999.0,-9999.0,-9999.0,,,,,
2016,1,16,21,,,229,,,199.0,10097.0,,,100.0,,,,30.0,,,,,2.0,-9999.0,-9999.0,
2016,1,17,0,,,259,,,225.0,10097.0,,,190.0,,,,40.0,,,,,6.0,-9999.0,-9999.0,
