,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
105,2004,3,29,6,,,283,,,260.0,10081.0,,,,40.0,,,,67.0,,,,,4.0,-9999.0,,,,,0.0
106,2004,3,29,18,,,281,,,240.0,10108.0,,,,50.0,,,,51.0,,,,,7.0,-9999.0,,,,,0.0
107,2004,3,30,6,,,284,,,250.0,10089.0,,,,90.0,,,,26.0,,,,,3.0,-9999.0,,,,,0.0
108,2004,3,30,18,,,280,,,250.0,10107.0,,,,60.0,,,,26.0,,,,,3.0,-9999.0,,,,,0.0
109,2004,3,31,6,-9999.0,-9999.0,10105,,,,20.0,,,416.0,,,,,1.0,-9999.0,,,,,0.0,,,,,
110,2004,4,1,6,,,283,,,250.0,10084.0,,,,40.0,,,,26.0,,,,,3.0,-9999.0,,,,,0.0
111,2004,4,1,18,,,274,,,250.0,10091.0,,,,80.0,,,,31.0,,,,,8.0,-9999.0,,,,,0.0
112,2004,4,2,0,,,313,,,250.0,10080.0,,,,60.0,,,,51.0,,,,,2.0,-9999.0,,,,,0.0
113,2004,4,2,6,,,280,,,240.0,10077.0,,,,10.0,,,,41.0,,,,,3.0,-9999.0,,,,,0.0
114,2004,4,3,18,,,279,,,250.0,10073.0,,,,60.0,,,,41.0,,,,,5.0,-9999.0,,,,,0.0
115,2004,4,4,6,,,277,,,260.0,10066.0,,,,,0.0,,,,,0.0,,,,,8.0,-9999.0,-9999.0,,
116,2004,4,4,18,,,260,,,250.0,10072.0,,,,40.0,,,,26.0,,,,,8.0,-9999.0,-9999.0,,,,
117,2004,4,5,6,,,280,,,260.0,10055.0,-9999.0,,,,10.0,,,,,8.0,-9999.0,,,,,3.0,,,
118,2004,4,5,18,,,265,,,250.0,10083.0,,,,30.0,,,,26.0,,,,,8.0,-9999.0,,,,,8.0
119,2004,4,6,6,,,283,,,260.0,10057.0,,,,80.0,,,,67.0,,,,,6.0,-9999.0,,,,,0.0
