,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2010,1,12,8,,,,30.0,,,,30.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,12,9,,,,30.0,,,,30.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,12,10,,,,30.0,,,,30.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,12,11,,,,40.0,,,,30.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,12,12,,,,30.0,,,,30.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,12,13,,,,30.0,,,,30.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,12,14,,,,30.0,,,,30.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,12,15,,,,30.0,,,,30.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,13,5,,,-30.0,,,-30.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,
2010,1,13,6,,,-30.0,,,-30.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,
2010,1,13,7,,,-40.0,,,-40.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,
2010,1,13,9,,,-40.0,,,-40.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,
2010,1,13,11,,,-40.0,,,-40.0,-9999.0,-9999.0,,,,,5.0,-9999.0,-9999.0,-9999.0,
2010,1,13,13,,,-40.0,,,-50.0,-9999.0,,,150.0,,,,10.0,-9999.0,-9999.0,-9999.0
2010,1,13,14,,,-40.0,,,-50.0,-9999.0,,,150.0,,,,10.0,-9999.0,-9999.0,-9999.0
2010,1,13,16,,,-40.0,,,-50.0,-9999.0,-9999.0,,,,10.0,-9999.0,-9999.0,-9999.0,,
2010,1,13,17,,,-50.0,,,-60.0,-9999.0,-9999.0,,,,,5.0,-9999.0,-9999.0,-9999.0,
2010,1,13,20,,,-50.0,,,-60.0,-9999.0,,,140.0,,,,10.0,-9999.0,-9999.0,-9999.0
2010,1,14,5,,,-70.0,,,-80.0,-9999.0,-9999.0,,,,10.0,-9999.0,-9999.0,-9999.0,,
2010,1,14,6,,,-70.0,,,-80.0,-9999.0,-9999.0,,,,10.0,-9999.0,-9999.0,-9999.0,,
2010,1,14,8,,,-80.0,,,-90.0,-9999.0,,,200.0,,,,15.0,-9999.0,-9999.0,-9999.0
2010,1,14,9,,,-70.0,,,-80.0,-9999.0,,,270.0,,,,10.0,-9999.0,-9999.0,-9999.0
2010,1,14,11,,,-60.0,,,-70.0,-9999.0,,,170.0,,,,15.0,-9999.0,-9999.0,-9999.0
2010,1,14,13,,,-50.0,,,-60.0,-9999.0,-9999.0,,,,10.0,-9999.0,-9999.0,-9999.0,,
2010,1,14,14,,,-60.0,,,-70.0,-9999.0,-9999.0,,,,10.0,-9999.0,-9999.0,-9999.0,,
2010,1,14,15,,,-70.0,,,-80.0,-9999.0,,,160.0,,,,15.0,-9999.0,-9999.0,-9999.0
