,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
73,2013,1,4,8,,,,80.0,,,,80.0,-9999.0,,,270.0,,,149.0,,,,,7.0,-9999.0,-9999.0,
74,2013,1,4,9,,,,90.0,,,,80.0,-9999.0,,,270.0,,,149.0,,,,,8.0,-9999.0,-9999.0,
75,2013,1,4,10,,,,80.0,,,,80.0,-9999.0,,,270.0,,,159.0,,,,,8.0,-9999.0,-9999.0,
76,2013,1,4,11,,,,80.0,,,,80.0,-9999.0,,,270.0,,,175.0,,,,,7.0,-9999.0,-9999.0,
77,2013,1,4,12,,,,80.0,,,,80.0,-9999.0,,,280.0,,,165.0,,,,,7.0,-9999.0,-9999.0,
78,2013,1,4,13,,,,80.0,,,,80.0,-9999.0,,,280.0,,,165.0,,,,,7.0,-9999.0,-9999.0,
79,2013,1,4,14,,,,80.0,,,,80.0,-9999.0,,,280.0,,,165.0,,,,,8.0,-9999.0,-9999.0,
80,2013,1,4,15,,,,80.0,,,,80.0,-9999.0,,,290.0,,,159.0,,,,,8.0,-9999.0,-9999.0,
81,2013,1,4,16,,,,80.0,,,,80.0,-9999.0,,,300.0,,,159.0,,,,,7.0,-9999.0,-9999.0,
82,2013,1,4,17,,,,80.0,,,,80.0,-9999.0,,,300.0,,,144.0,,,,,7.0,-9999.0,-9999.0,
83,2013,1,4,18,,,,80.0,,,,80.0,-9999.0,,,300.0,,,134.0,,,,,8.0,-9999.0,-9999.0,
84,2013,1,4,19,,,,80.0,,,,80.0,-9999.0,,,310.0,,,129.0,,,,,8.0,-9999.0,-9999.0,
85,2013,1,4,20,,,,80.0,,,,80.0,-9999.0,,,290.0,,,118.0,,,,,8.0,-9999.0,-9999.0,
86,2013,1,4,21,,,,80.0,,,,80.0,-9999.0,,,280.0,,,118.0,,,,,8.0,-9999.0,-9999.0,
87,2013,1,4,22,,,,80.0,,,,80.0,-9999.0,,,280.0,,,118.0,,,,,8.0,-9999.0,-9999.0,
88,2013,1,4,23,,,,80.0,,,,80.0,-9999.0,,,270.0,,,113.0,,,,,8.0,-9999.0,-9999.0,
89,2013,1,5,0,,,,80.0,,,,70.0,-9999.0,,,280.0,,,,98.0,,,,,8.0,-9999.0,-9999.0
90,2013,1,5,1,,,,80.0,,,,70.0,-9999.0,,,260.0,,,,72.0,,,,,7.0,-9999.0,-9999.0
91,2013,1,5,2,,,,80.0,,,,80.0,-9999.0,,,270.0,,,,72.0,,,,,8.0,-9999.0,-9999.0
92,2013,1,5,3,,,,80.0,,,,80.0,-9999.0,,,260.0,,,,82.0,,,,,7.0,-9999.0,-9999.0
93,2013,1,5,4,,,,80.0,,,,80.0,-9999.0,,,260.0,,,,82.0,,,,,8.0,-9999.0,-9999.0
94,2013,1,5,5,,,,80.0,,,,80.0,-9999.0,,,260.0,,,,82.0,,,,,7.0,-9999.0,-9999.0
95,2013,1,5,6,,,,80.0,,,,80.0,-9999.0,,,270.0,,,,72.0,,,,,7.0,-9999.0,-9999.0
96,2013,1,5,7,,,,80.0,,,,70.0,-9999.0,,,260.0,,,,51.0,,,,,7.0,-9999.0,-9999.0
97,2013,1,5,8,,,,80.0,,,,70.0,-9999.0,,,220.0,,,,57.0,,,,,7.0,-9999.0,-9999.0
98,2013,1,5,9,,,,80.0,,,,70.0,-9999.0,,,220.0,,,,67.0,,,,,7.0,-9999.0,-9999.0
99,2013,1,5,10,,,,80.0,,,,70.0,-9999.0,,,200.0,,,,77.0,,,,,7.0,-9999.0,-9999.0
100,2013,1,5,11,,,,80.0,,,,70.0,-9999.0,,,190.0,,,,72.0,,,,,7.0,-9999.0,-9999.0
101,2013,1,5,12,,,,80.0,,,,70.0,-9999.0,,,170.0,,,,72.0,,,,,7.0,-9999.0,-9999.0
102,2013,1,5,13,,,,70.0,,,,70.0,-9999.0,,,170.0,,,,87.0,,,,,7.0,-9999.0,-9999.0
103,2013,1,5,14,,,,70.0,,,,70.0,-9999.0,,,170.0,,,,93.0,,,,,7.0,-9999.0,-9999.0
104,2013,1,5,15,,,,70.0,,,,60.0,-9999.0,,,160.0,,,139.0,,,,,7.0,-9999.0,-9999.0,
105,2013,1,5,16,,,,70.0,,,,70.0,-9999.0,,,160.0,,,103.0,,,,,7.0,-9999.0,-9999.0,
106,2013,1,5,17,,,,70.0,,,,70.0,-9999.0,,,150.0,,,108.0,,,,,7.0,-9999.0,-9999.0,
107,2013,1,5,18,,,,70.0,,,,70.0,-9999.0,,,160.0,,,108.0,,,,,7.0,-9999.0,-9999.0,
108,2013,1,5,19,,,,70.0,,,,70.0,-9999.0,,,170.0,,,113.0,,,,,8.0,-9999.0,-9999.0,
109,2013,1,5,20,,,,70.0,,,,70.0,-9999.0,,,210.0,,,108.0,,,,,7.0,-9999.0,-9999.0,
110,2013,1,5,21,,,,80.0,,,,70.0,-9999.0,,,230.0,,,113.0,,,,,7.0,-9999.0,-9999.0,
111,2013,1,5,22,,,,80.0,,,,70.0,-9999.0,,,240.0,,,118.0,,,,,7.0,-9999.0,-9999.0,
112,2013,1,5,23,,,,80.0,,,,70.0,-9999.0,,,250.0,,,118.0,,,,,8.0,-9999.0,-9999.0,
113,2013,1,6,0,,,,80.0,,,,70.0,-9999.0,,,260.0,,,,87.0,,,,,8.0,-9999.0,-9999.0
114,2013,1,6,1,,,,70.0,,,,70.0,-9999.0,,,250.0,,,,72.0,,,,,7.0,-9999.0,-9999.0
115,2013,1,6,2,,,,80.0,,,,80.0,-9999.0,,,270.0,,,,93.0,,,,,7.0,-9999.0,-9999.0
116,2013,1,6,3,,,,80.0,,,,80.0,-9999.0,,,280.0,,,118.0,,,,,8.0,-9999.0,-9999.0,
117,2013,1,6,4,,,,80.0,,,,80.0,-9999.0,,,310.0,,,139.0,,,,,7.0,-9999.0,-9999.0,
118,2013,1,6,5,,,,80.0,,,,70.0,-9999.0,,,310.0,,,139.0,,,,,0.0,-9999.0,-9999.0,
119,2013,1,6,6,,,,80.0,,,,70.0,-9999.0,,,320.0,,,108.0,,,,,0.0,-9999.0,-9999.0,
120,2013,1,6,7,,,,80.0,,,,70.0,-9999.0,,,320.0,,,113.0,,,,,4.0,-9999.0,-9999.0,
121,2013,1,6,8,,,,80.0,,,,70.0,-9999.0,,,310.0,,,,87.0,,,,,4.0,-9999.0,-9999.0
122,2013,1,6,9,,,,80.0,,,,60.0,-9999.0,,,330.0,,,,98.0,-9999.0,-9999.0,-9999.0,,,,
123,2013,1,6,10,,,,80.0,,,,60.0,-9999.0,,,320.0,,,,67.0,-9999.0,-9999.0,-9999.0,,,,
124,2013,1,6,11,,,,80.0,,,,50.0,-9999.0,,,300.0,,,,72.0,,,,,7.0,-9999.0,-9999.0
125,2013,1,6,12,,,,80.0,,,,40.0,-9999.0,,,320.0,,,,51.0,,,,,2.0,-9999.0,-9999.0
126,2013,1,6,13,,,,80.0,,,,50.0,-9999.0,,,260.0,,,,36.0,-9999.0,-9999.0,-9999.0,,,,
127,2013,1,6,14,,,,80.0,,,,60.0,-9999.0,,,220.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,,
128,2013,1,6,15,,,,70.0,,,,60.0,-9999.0,,,230.0,,,,67.0,-9999.0,-9999.0,-9999.0,,,,
129,2013,1,6,16,,,,70.0,,,,70.0,-9999.0,,,230.0,,,,51.0,,,,,7.0,-9999.0,-9999.0
130,2013,1,6,17,,,,70.0,,,,60.0,-9999.0,,,170.0,,,,51.0,-9999.0,-9999.0,-9999.0,,,,
131,2013,1,6,19,,,,70.0,,,,60.0,-9999.0,,,190.0,,,,98.0,,,,,7.0,-9999.0,-9999.0
132,2013,1,6,20,,,,70.0,,,,60.0,-9999.0,,,180.0,,,,98.0,,,,,7.0,-9999.0,-9999.0
133,2013,1,6,21,,,,70.0,,,,60.0,-9999.0,,,170.0,,,108.0,,,,,7.0,-9999.0,-9999.0,
134,2013,1,6,22,,,,70.0,,,,60.0,-9999.0,,,160.0,,,113.0,,,,,7.0,-9999.0,-9999.0,
135,2013,1,6,23,,,,70.0,,,,70.0,-9999.0,,,180.0,,,118.0,,,,,7.0,-9999.0,-9999.0,
