,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
83,2015,1,4,12,,-344,-9999,-9999.0,,,,80.0,,,,15,-9999.0,-9999.0,-9999.0
84,2015,1,4,13,,-344,-9999,-9999.0,,,,80.0,,,,15,-9999.0,-9999.0,-9999.0
85,2015,1,4,14,,-344,-9999,-9999.0,,,,80.0,,,,10,-9999.0,-9999.0,-9999.0
86,2015,1,4,15,,-344,-9999,-9999.0,,,,,0.0,-9999.0,-9999.0,-9999,-9999.0,,
87,2015,1,4,16,,-344,-9999,-9999.0,,,,90.0,,,,10,-9999.0,-9999.0,-9999.0
88,2015,1,4,17,,-344,-9999,-9999.0,,,100.0,,,,15.0,-9999,-9999.0,-9999.0,
89,2015,1,4,18,,-344,-9999,-9999.0,,,100.0,,,,15.0,-9999,-9999.0,-9999.0,
90,2015,1,4,19,,-344,-9999,-9999.0,,,100.0,,,,,5,-9999.0,-9999.0,-9999.0
91,2015,1,4,21,,-344,-9999,-9999.0,,,,70.0,,,,15,-9999.0,-9999.0,-9999.0
92,2015,1,5,0,,-343,-9999,-9999.0,,,,60.0,,,,21,-9999.0,-9999.0,-9999.0
93,2015,1,5,1,,-343,-9999,-9999.0,,,,60.0,,,,21,-9999.0,-9999.0,-9999.0
94,2015,1,5,2,,-343,-9999,-9999.0,,,,60.0,,,,21,-9999.0,-9999.0,-9999.0
95,2015,1,5,3,,-343,-9999,-9999.0,,,,70.0,,,,31,-9999.0,-9999.0,-9999.0
96,2015,1,5,4,,-343,-9999,-9999.0,,,,60.0,,,,41,-9999.0,-9999.0,-9999.0
97,2015,1,5,5,,-343,-9999,-9999.0,,,,50.0,,,,46,-9999.0,-9999.0,-9999.0
98,2015,1,5,6,,-343,-9999,-9999.0,,,,50.0,,,,46,-9999.0,-9999.0,-9999.0
99,2015,1,5,7,,-343,-9999,-9999.0,,,,50.0,,,,57,-9999.0,-9999.0,-9999.0
100,2015,1,5,8,,-343,-9999,-9999.0,,,,50.0,,,,51,-9999.0,-9999.0,-9999.0
101,2015,1,5,9,,-343,-9999,-9999.0,,,,50.0,,,,41,-9999.0,-9999.0,-9999.0
102,2015,1,5,10,,-343,-9999,-9999.0,,,,50.0,,,,51,-9999.0,-9999.0,-9999.0
103,2015,1,5,11,,-343,-9999,-9999.0,,,,50.0,,,,41,-9999.0,-9999.0,-9999.0
104,2015,1,5,12,,-343,-9999,-9999.0,,,,50.0,,,,41,-9999.0,-9999.0,-9999.0
105,2015,1,5,13,,-343,-9999,-9999.0,,,,50.0,,,,41,-9999.0,-9999.0,-9999.0
106,2015,1,5,14,,-343,-9999,-9999.0,,,,50.0,,,,36,-9999.0,-9999.0,-9999.0
107,2015,1,5,15,,-343,-9999,-9999.0,,,,50.0,,,,31,-9999.0,-9999.0,-9999.0
108,2015,1,5,16,,-343,-9999,-9999.0,,,,50.0,,,,36,-9999.0,-9999.0,-9999.0
109,2015,1,5,17,,-343,-9999,-9999.0,,,,50.0,,,,21,-9999.0,-9999.0,-9999.0
110,2015,1,5,18,,-343,-9999,-9999.0,,,,60.0,,,,21,-9999.0,-9999.0,-9999.0
111,2015,1,5,19,,-343,-9999,-9999.0,,,,90.0,,,,10,-9999.0,-9999.0,-9999.0
112,2015,1,5,20,,-343,-9999,-9999.0,,,,90.0,,,,15,-9999.0,-9999.0,-9999.0
113,2015,1,5,21,,-343,-9999,-9999.0,,,,70.0,,,,21,-9999.0,-9999.0,-9999.0
114,2015,1,5,22,,-343,-9999,-9999.0,,,,60.0,,,,31,-9999.0,-9999.0,-9999.0
115,2015,1,5,23,,-343,-9999,-9999.0,,,,50.0,,,,46,-9999.0,-9999.0,-9999.0
116,2015,1,6,0,,-343,-9999,-9999.0,,,,50.0,,,,57,-9999.0,-9999.0,-9999.0
117,2015,1,6,1,,-343,-9999,-9999.0,,,,40.0,,,,51,-9999.0,-9999.0,-9999.0
118,2015,1,6,2,,-342,-9999,-9999.0,,,,50.0,,,,31,-9999.0,-9999.0,-9999.0
119,2015,1,6,3,,-342,-9999,-9999.0,,,,50.0,,,,51,-9999.0,-9999.0,-9999.0
120,2015,1,6,4,,-342,-9999,-9999.0,,,,50.0,,,,51,-9999.0,-9999.0,-9999.0
121,2015,1,6,5,,-342,-9999,-9999.0,,,,40.0,,,,77,-9999.0,-9999.0,-9999.0
122,2015,1,6,7,,-342,-9999,-9999.0,,,,30.0,,,,67,-9999.0,-9999.0,-9999.0
123,2015,1,6,8,,-342,-9999,-9999.0,,,,40.0,,,,51,-9999.0,-9999.0,-9999.0
124,2015,1,6,9,,-342,-9999,-9999.0,,,,40.0,,,,51,-9999.0,-9999.0,-9999.0
125,2015,1,6,10,,-342,-9999,-9999.0,,,,40.0,,,,62,-9999.0,-9999.0,-9999.0
