,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
74,2006,1,12,5,,,295.0,,,218.0,10110.0,,,,60.0,,,,62,-9999.0,-9999.0,-9999.0
75,2006,1,12,8,,,281.0,,,216.0,10107.0,,,,80.0,,,,51,-9999.0,-9999.0,-9999.0
76,2006,1,12,11,,,270.0,,,210.0,10123.0,,,110.0,,,,41.0,-9999,-9999.0,-9999.0,
77,2006,1,12,14,,,266.0,,,206.0,10118.0,,,,90.0,,,,41,-9999.0,-9999.0,-9999.0
78,2006,1,12,17,,,237.0,,,213.0,10115.0,,,200.0,,,,21.0,-9999,-9999.0,-9999.0,
79,2006,1,12,20,,,234.0,,,215.0,10125.0,,,220.0,,,,31.0,-9999,-9999.0,-9999.0,
80,2006,1,12,23,,,283.0,,,206.0,10126.0,,,120.0,,,,51.0,-9999,-9999.0,-9999.0,
81,2006,1,13,2,,,308.0,,,202.0,10118.0,,,,70.0,,,,46,-9999.0,-9999.0,-9999.0
82,2006,1,13,5,,,305.0,,,197.0,10099.0,,,,70.0,,,,62,-9999.0,-9999.0,-9999.0
83,2006,1,13,8,,,280.0,,,200.0,10104.0,,,,70.0,,,,62,-9999.0,-9999.0,-9999.0
84,2006,1,13,11,,,269.0,,,198.0,10116.0,,,100.0,,,,62.0,-9999,-9999.0,-9999.0,
85,2006,1,13,14,,,248.0,,,202.0,10120.0,,,190.0,,,,21.0,-9999,-9999.0,-9999.0,
86,2006,1,13,17,,,242.0,,,210.0,10113.0,,,190.0,,,,26.0,-9999,-9999.0,-9999.0,
87,2006,1,13,20,,,237.0,,,213.0,10123.0,,,220.0,,,,21.0,-9999,-9999.0,-9999.0,
88,2006,1,13,23,,,283.0,,,199.0,10128.0,,,130.0,,,,41.0,-9999,-9999.0,-9999.0,
89,2006,1,14,2,,,299.0,,,194.0,10116.0,,,110.0,,,,51.0,-9999,-9999.0,-9999.0,
90,2006,1,14,5,,,297.0,,,205.0,10101.0,,,,60.0,,,,62,-9999.0,-9999.0,-9999.0
91,2006,1,14,8,,,283.0,,,198.0,10108.0,,,,90.0,,,,57,-9999.0,-9999.0,-9999.0
92,2006,1,14,11,,,275.0,,,207.0,10123.0,,,100.0,,,,57.0,-9999,-9999.0,-9999.0,
93,2006,1,14,14,,,251.0,,,223.0,10122.0,,,150.0,,,,36.0,-9999,-9999.0,-9999.0,
94,2006,1,14,20,,,240.0,,,227.0,10122.0,,,200.0,,,,21.0,-9999,-9999.0,-9999.0,
95,2006,1,14,23,,,285.0,,,194.0,10130.0,,,100.0,,,,51.0,-9999,-9999.0,-9999.0,
96,2006,1,15,2,,,301.0,,,196.0,10121.0,,,110.0,,,,67.0,-9999,-9999.0,-9999.0,
97,2006,1,15,5,,,291.0,,,197.0,10111.0,,,100.0,,,,82.0,-9999,-9999.0,-9999.0,
98,2006,1,15,8,,,282.0,,,205.0,10120.0,,,100.0,,,,82.0,-9999,-9999.0,-9999.0,
99,2006,1,15,14,,,260.0,,,205.0,10127.0,,,150.0,,,,31.0,-9999,-9999.0,-9999.0,
100,2006,1,15,20,,,231.0,,,217.0,10131.0,,,170.0,,,,36.0,-9999,-9999.0,-9999.0,
101,2006,1,15,23,,,277.0,,,201.0,10132.0,,,110.0,,,,57.0,-9999,-9999.0,-9999.0,
102,2006,1,16,2,,,292.0,,,192.0,10128.0,,,110.0,,,,67.0,-9999,-9999.0,-9999.0,
103,2006,1,16,5,,,300.0,,,212.0,10114.0,,,,80.0,,,,62,-9999.0,-9999.0,-9999.0
104,2006,1,16,8,,,282.0,,,198.0,10118.0,,,100.0,,,,67.0,-9999,-9999.0,-9999.0,
105,2006,1,16,11,,,271.0,,,206.0,10130.0,,,110.0,,,,57.0,-9999,-9999.0,-9999.0,
106,2006,1,16,14,,,255.0,,,207.0,10122.0,,,170.0,,,,26.0,-9999,-9999.0,-9999.0,
107,2006,1,16,20,,,237.0,,,215.0,10123.0,,,190.0,,,,15.0,-9999,-9999.0,-9999.0,
108,2006,1,16,23,,,281.0,,,202.0,10125.0,,,120.0,,,,62.0,-9999,-9999.0,-9999.0,
